transaction_id,product_id,product_name,department,date,day_of_week,is_weekend,month,peak_hour,festival_flag,base_price,discount_pct,current_price,cost_price,inventory_level,inventory_ratio,units_sold,revenue,profit,store_id
50,33627,Mix Popcorn,snacks,2024-02-19,0,0,2,17,0,5.31,0.0,5.31,3.13,101,1.0,43,228.33,93.74,1
51,33627,Mix Popcorn,snacks,2024-02-20,1,0,2,9,0,5.31,0.0,5.31,3.13,60,0.6,60,318.6,130.8,1
52,33627,Mix Popcorn,snacks,2024-02-21,2,0,2,18,0,5.31,0.0,5.31,3.13,44,0.44,40,212.4,87.2,1
53,33627,Mix Popcorn,snacks,2024-02-22,3,0,2,9,0,5.31,0.0,5.31,3.13,57,0.57,45,238.95,98.1,1
54,33627,Mix Popcorn,snacks,2024-02-23,4,0,2,18,0,5.31,0.0,5.31,3.13,18,0.18,18,95.58,39.24,1
55,33627,Mix Popcorn,snacks,2024-02-24,5,1,2,17,0,5.31,0.0,5.31,3.13,47,0.47,47,249.57,102.46,1
56,33627,Mix Popcorn,snacks,2024-02-25,6,1,2,18,0,5.31,0.0,5.31,3.13,26,0.26,26,138.06,56.68,1
57,33627,Mix Popcorn,snacks,2024-02-26,0,0,2,9,0,5.31,5.0,5.04,3.13,55,0.55,55,277.2,105.05,1
58,33627,Mix Popcorn,snacks,2024-02-27,1,0,2,8,0,5.31,0.0,5.31,3.13,59,0.59,52,276.12,113.36,1
59,33627,Mix Popcorn,snacks,2024-02-28,2,0,2,20,0,5.31,0.0,5.31,3.13,37,0.37,37,196.47,80.66,1
60,33627,Mix Popcorn,snacks,2024-02-29,3,0,2,19,0,5.31,0.0,5.31,3.13,27,0.27,27,143.37,58.86,1
61,33627,Mix Popcorn,snacks,2024-03-01,4,0,3,20,0,5.31,0.0,5.31,3.13,40,0.4,40,212.4,87.2,1
62,33627,Mix Popcorn,snacks,2024-03-02,5,1,3,8,0,5.31,0.0,5.31,3.13,71,0.71,71,377.01,154.78,1
63,33627,Mix Popcorn,snacks,2024-03-03,6,1,3,18,0,5.31,0.0,5.31,3.13,54,0.54,54,286.74,117.72,1
64,33627,Mix Popcorn,snacks,2024-03-04,0,0,3,18,0,5.31,0.0,5.31,3.13,67,0.67,60,318.6,130.8,1
65,33627,Mix Popcorn,snacks,2024-03-05,1,0,3,18,0,5.31,0.0,5.31,3.13,43,0.43,43,228.33,93.74,1
66,33627,Mix Popcorn,snacks,2024-03-06,2,0,3,17,0,5.31,0.0,5.31,3.13,98,0.98,56,297.36,122.08,1
67,33627,Mix Popcorn,snacks,2024-03-07,3,0,3,18,0,5.31,0.0,5.31,3.13,45,0.45,45,238.95,98.1,1
68,33627,Mix Popcorn,snacks,2024-03-08,4,0,3,18,0,5.31,0.0,5.31,3.13,25,0.25,25,132.75,54.5,1
69,33627,Mix Popcorn,snacks,2024-03-09,5,1,3,8,0,5.31,0.0,5.31,3.13,61,0.61,61,323.91,132.98,1
70,33627,Mix Popcorn,snacks,2024-03-10,6,1,3,18,0,5.31,0.0,5.31,3.13,57,0.57,55,292.05,119.9,1
71,33627,Mix Popcorn,snacks,2024-03-11,0,0,3,10,0,5.31,0.0,5.31,3.13,33,0.33,33,175.23,71.94,1
72,33627,Mix Popcorn,snacks,2024-03-12,1,0,3,19,0,5.31,0.0,5.31,3.13,49,0.49,44,233.64,95.92,1
73,33627,Mix Popcorn,snacks,2024-03-13,2,0,3,18,0,5.31,0.0,5.31,3.13,48,0.48,48,254.88,104.64,1
74,33627,Mix Popcorn,snacks,2024-03-14,3,0,3,18,0,5.31,0.0,5.31,3.13,60,0.6,56,297.36,122.08,1
75,33627,Mix Popcorn,snacks,2024-03-15,4,0,3,17,0,5.31,0.0,5.31,3.13,101,1.0,41,217.71,89.38,1
76,33627,Mix Popcorn,snacks,2024-03-16,5,1,3,18,0,5.31,0.0,5.31,3.13,58,0.58,58,307.98,126.44,1
77,33627,Mix Popcorn,snacks,2024-03-17,6,1,3,17,0,5.31,0.0,5.31,3.13,32,0.32,32,169.92,69.76,1
78,33627,Mix Popcorn,snacks,2024-03-18,0,0,3,17,0,5.31,20.0,4.25,3.13,22,0.22,22,93.5,24.64,1
79,33627,Mix Popcorn,snacks,2024-03-19,1,0,3,17,0,5.31,0.0,5.31,3.13,22,0.22,22,116.82,47.96,1
80,33627,Mix Popcorn,snacks,2024-03-20,2,0,3,8,0,5.31,0.0,5.31,3.13,78,0.78,49,260.19,106.82,1
81,33627,Mix Popcorn,snacks,2024-03-21,3,0,3,8,0,5.31,0.0,5.31,3.13,80,0.8,54,286.74,117.72,1
82,33627,Mix Popcorn,snacks,2024-03-22,4,0,3,17,0,5.31,0.0,5.31,3.13,86,0.86,47,249.57,102.46,1
83,33627,Mix Popcorn,snacks,2024-03-23,5,1,3,10,0,5.31,10.0,4.78,3.13,84,0.84,77,368.06,127.05,1
84,33627,Mix Popcorn,snacks,2024-03-24,6,1,3,17,0,5.31,0.0,5.31,3.13,80,0.8,79,419.49,172.22,1
85,33627,Mix Popcorn,snacks,2024-03-25,0,0,3,18,0,5.31,0.0,5.31,3.13,32,0.32,32,169.92,69.76,1
86,33627,Mix Popcorn,snacks,2024-03-26,1,0,3,17,0,5.31,0.0,5.31,3.13,58,0.58,45,238.95,98.1,1
87,33627,Mix Popcorn,snacks,2024-03-27,2,0,3,19,0,5.31,0.0,5.31,3.13,17,0.17,17,90.27,37.06,1
88,33627,Mix Popcorn,snacks,2024-03-28,3,0,3,19,0,5.31,0.0,5.31,3.13,74,0.74,49,260.19,106.82,1
89,33627,Mix Popcorn,snacks,2024-03-29,4,0,3,9,0,5.31,0.0,5.31,3.13,39,0.39,39,207.09,85.02,1
90,33627,Mix Popcorn,snacks,2024-03-30,5,1,3,10,0,5.31,0.0,5.31,3.13,50,0.5,50,265.5,109.0,1
91,33627,Mix Popcorn,snacks,2024-03-31,6,1,3,17,0,5.31,0.0,5.31,3.13,84,0.84,66,350.46,143.88,1
92,33627,Mix Popcorn,snacks,2024-04-01,0,0,4,20,0,5.31,5.0,5.04,3.13,65,0.65,51,257.04,97.41,1
93,33627,Mix Popcorn,snacks,2024-04-02,1,0,4,18,0,5.31,0.0,5.31,3.13,52,0.52,47,249.57,102.46,1
94,33627,Mix Popcorn,snacks,2024-04-03,2,0,4,9,0,5.31,0.0,5.31,3.13,16,0.16,16,84.96,34.88,1
95,33627,Mix Popcorn,snacks,2024-04-04,3,0,4,19,0,5.31,0.0,5.31,3.13,35,0.35,35,185.85,76.3,1
96,33627,Mix Popcorn,snacks,2024-04-05,4,0,4,20,0,5.31,0.0,5.31,3.13,60,0.6,45,238.95,98.1,1
97,33627,Mix Popcorn,snacks,2024-04-06,5,1,4,10,0,5.31,0.0,5.31,3.13,48,0.48,48,254.88,104.64,1
98,33627,Mix Popcorn,snacks,2024-04-07,6,1,4,19,0,5.31,0.0,5.31,3.13,53,0.53,53,281.43,115.54,1
99,33627,Mix Popcorn,snacks,2024-04-08,0,0,4,19,0,5.31,0.0,5.31,3.13,53,0.53,53,281.43,115.54,1
100,33627,Mix Popcorn,snacks,2024-04-09,1,0,4,17,0,5.31,0.0,5.31,3.13,65,0.65,52,276.12,113.36,1
101,33627,Mix Popcorn,snacks,2024-04-10,2,0,4,20,0,5.31,0.0,5.31,3.13,17,0.17,17,90.27,37.06,1
102,33627,Mix Popcorn,snacks,2024-04-11,3,0,4,10,0,5.31,0.0,5.31,3.13,68,0.68,42,223.02,91.56,1
103,33627,Mix Popcorn,snacks,2024-04-12,4,0,4,17,0,5.31,0.0,5.31,3.13,74,0.74,59,313.29,128.62,1
104,33627,Mix Popcorn,snacks,2024-04-13,5,1,4,19,0,5.31,10.0,4.78,3.13,63,0.63,63,301.14,103.95,1
105,33627,Mix Popcorn,snacks,2024-04-14,6,1,4,18,0,5.31,0.0,5.31,3.13,69,0.69,64,339.84,139.52,1
106,33627,Mix Popcorn,snacks,2024-04-15,0,0,4,18,0,5.31,5.0,5.04,3.13,23,0.23,23,115.92,43.93,1
107,33627,Mix Popcorn,snacks,2024-04-16,1,0,4,18,0,5.31,0.0,5.31,3.13,6,0.06,6,31.86,13.08,1
108,33627,Mix Popcorn,snacks,2024-04-17,2,0,4,19,0,5.31,0.0,5.31,3.13,85,0.85,53,281.43,115.54,1
109,33627,Mix Popcorn,snacks,2024-04-18,3,0,4,20,0,5.31,0.0,5.31,3.13,62,0.62,58,307.98,126.44,1
110,33627,Mix Popcorn,snacks,2024-04-19,4,0,4,9,0,5.31,0.0,5.31,3.13,51,0.51,43,228.33,93.74,1
111,33627,Mix Popcorn,snacks,2024-04-20,5,1,4,19,0,5.31,0.0,5.31,3.13,1,0.01,1,5.31,2.18,1
112,33627,Mix Popcorn,snacks,2024-04-21,6,1,4,19,0,5.31,0.0,5.31,3.13,39,0.39,39,207.09,85.02,1
113,33627,Mix Popcorn,snacks,2024-04-22,0,0,4,17,0,5.31,0.0,5.31,3.13,26,0.26,26,138.06,56.68,1
114,33627,Mix Popcorn,snacks,2024-04-23,1,0,4,18,0,5.31,0.0,5.31,3.13,80,0.8,44,233.64,95.92,1
115,33627,Mix Popcorn,snacks,2024-04-24,2,0,4,18,0,5.31,0.0,5.31,3.13,60,0.6,51,270.81,111.18,1
116,33627,Mix Popcorn,snacks,2024-04-25,3,0,4,17,0,5.31,0.0,5.31,3.13,54,0.54,54,286.74,117.72,1
117,33627,Mix Popcorn,snacks,2024-04-26,4,0,4,19,0,5.31,0.0,5.31,3.13,51,0.51,43,228.33,93.74,1
118,33627,Mix Popcorn,snacks,2024-04-27,5,1,4,19,0,5.31,5.0,5.04,3.13,76,0.76,67,337.68,127.97,1
119,33627,Mix Popcorn,snacks,2024-04-28,6,1,4,19,0,5.31,0.0,5.31,3.13,47,0.47,47,249.57,102.46,1
120,33627,Mix Popcorn,snacks,2024-04-29,0,0,4,8,0,5.31,0.0,5.31,3.13,65,0.65,43,228.33,93.74,1
121,33627,Mix Popcorn,snacks,2024-04-30,1,0,4,18,0,5.31,0.0,5.31,3.13,100,1.0,56,297.36,122.08,1
122,33627,Mix Popcorn,snacks,2024-05-01,2,0,5,20,0,5.31,0.0,5.31,3.13,58,0.58,48,254.88,104.64,1
123,33627,Mix Popcorn,snacks,2024-05-02,3,0,5,19,0,5.31,0.0,5.31,3.13,17,0.17,17,90.27,37.06,1
124,33627,Mix Popcorn,snacks,2024-05-03,4,0,5,19,0,5.31,0.0,5.31,3.13,57,0.57,54,286.74,117.72,1
125,33627,Mix Popcorn,snacks,2024-05-04,5,1,5,19,0,5.31,5.0,5.04,3.13,27,0.27,27,136.08,51.57,1
126,33627,Mix Popcorn,snacks,2024-05-05,6,1,5,9,0,5.31,0.0,5.31,3.13,44,0.44,44,233.64,95.92,1
127,33627,Mix Popcorn,snacks,2024-05-06,0,0,5,18,0,5.31,0.0,5.31,3.13,61,0.61,46,244.26,100.28,1
128,33627,Mix Popcorn,snacks,2024-05-07,1,0,5,10,0,5.31,0.0,5.31,3.13,26,0.26,26,138.06,56.68,1
129,33627,Mix Popcorn,snacks,2024-05-08,2,0,5,19,0,5.31,0.0,5.31,3.13,37,0.37,37,196.47,80.66,1
130,33627,Mix Popcorn,snacks,2024-05-09,3,0,5,19,0,5.31,0.0,5.31,3.13,87,0.87,47,249.57,102.46,1
131,33627,Mix Popcorn,snacks,2024-05-10,4,0,5,10,0,5.31,0.0,5.31,3.13,63,0.63,56,297.36,122.08,1
132,33627,Mix Popcorn,snacks,2024-05-11,5,1,5,17,0,5.31,0.0,5.31,3.13,44,0.44,44,233.64,95.92,1
133,33627,Mix Popcorn,snacks,2024-05-12,6,1,5,18,0,5.31,0.0,5.31,3.13,29,0.29,29,153.99,63.22,1
134,33627,Mix Popcorn,snacks,2024-05-13,0,0,5,18,0,5.31,0.0,5.31,3.13,91,0.91,46,244.26,100.28,1
135,33627,Mix Popcorn,snacks,2024-05-14,1,0,5,8,0,5.31,0.0,5.31,3.13,45,0.45,44,233.64,95.92,1
136,33627,Mix Popcorn,snacks,2024-05-15,2,0,5,20,0,5.31,0.0,5.31,3.13,19,0.19,19,100.89,41.42,1
137,33627,Mix Popcorn,snacks,2024-05-16,3,0,5,20,0,5.31,0.0,5.31,3.13,67,0.67,42,223.02,91.56,1
138,33627,Mix Popcorn,snacks,2024-05-17,4,0,5,9,0,5.31,0.0,5.31,3.13,14,0.14,14,74.34,30.52,1
139,33627,Mix Popcorn,snacks,2024-05-18,5,1,5,20,0,5.31,0.0,5.31,3.13,3,0.03,3,15.93,6.54,1
140,33627,Mix Popcorn,snacks,2024-05-19,6,1,5,19,0,5.31,0.0,5.31,3.13,40,0.4,40,212.4,87.2,1
141,33627,Mix Popcorn,snacks,2024-05-20,0,0,5,19,0,5.31,0.0,5.31,3.13,45,0.45,45,238.95,98.1,1
142,33627,Mix Popcorn,snacks,2024-05-21,1,0,5,9,0,5.31,0.0,5.31,3.13,42,0.42,42,223.02,91.56,1
143,33627,Mix Popcorn,snacks,2024-05-22,2,0,5,17,0,5.31,0.0,5.31,3.13,44,0.44,44,233.64,95.92,1
144,33627,Mix Popcorn,snacks,2024-05-23,3,0,5,18,0,5.31,0.0,5.31,3.13,41,0.41,41,217.71,89.38,1
145,33627,Mix Popcorn,snacks,2024-05-24,4,0,5,9,0,5.31,0.0,5.31,3.13,53,0.53,53,281.43,115.54,1
146,33627,Mix Popcorn,snacks,2024-05-25,5,1,5,17,0,5.31,5.0,5.04,3.13,48,0.48,48,241.92,91.68,1
147,33627,Mix Popcorn,snacks,2024-05-26,6,1,5,18,0,5.31,0.0,5.31,3.13,67,0.67,67,355.77,146.06,1
148,33627,Mix Popcorn,snacks,2024-05-27,0,0,5,10,0,5.31,0.0,5.31,3.13,4,0.04,4,21.24,8.72,1
149,33627,Mix Popcorn,snacks,2024-05-28,1,0,5,18,0,5.31,0.0,5.31,3.13,41,0.41,41,217.71,89.38,1
150,33627,Mix Popcorn,snacks,2024-05-29,2,0,5,17,0,5.31,0.0,5.31,3.13,39,0.39,39,207.09,85.02,1
151,33627,Mix Popcorn,snacks,2024-05-30,3,0,5,19,0,5.31,0.0,5.31,3.13,29,0.29,29,153.99,63.22,1
152,33627,Mix Popcorn,snacks,2024-05-31,4,0,5,19,0,5.31,0.0,5.31,3.13,56,0.56,56,297.36,122.08,1
153,33627,Mix Popcorn,snacks,2024-06-01,5,1,6,8,0,5.31,0.0,5.31,3.13,69,0.69,67,355.77,146.06,1
154,33627,Mix Popcorn,snacks,2024-06-02,6,1,6,18,0,5.31,0.0,5.31,3.13,0,0.0,0,0.0,0.0,1
155,33627,Mix Popcorn,snacks,2024-06-03,0,0,6,8,0,5.31,20.0,4.25,3.13,64,0.64,51,216.75,57.12,1
156,33627,Mix Popcorn,snacks,2024-06-04,1,0,6,17,0,5.31,0.0,5.31,3.13,40,0.4,40,212.4,87.2,1
157,33627,Mix Popcorn,snacks,2024-06-05,2,0,6,19,0,5.31,0.0,5.31,3.13,38,0.38,38,201.78,82.84,1
158,33627,Mix Popcorn,snacks,2024-06-06,3,0,6,17,0,5.31,0.0,5.31,3.13,37,0.37,37,196.47,80.66,1
159,33627,Mix Popcorn,snacks,2024-06-07,4,0,6,18,0,5.31,0.0,5.31,3.13,34,0.34,34,180.54,74.12,1
160,33627,Mix Popcorn,snacks,2024-06-08,5,1,6,10,0,5.31,0.0,5.31,3.13,38,0.38,38,201.78,82.84,1
161,33627,Mix Popcorn,snacks,2024-06-09,6,1,6,19,0,5.31,0.0,5.31,3.13,69,0.69,69,366.39,150.42,1
162,33627,Mix Popcorn,snacks,2024-06-10,0,0,6,18,0,5.31,0.0,5.31,3.13,58,0.58,52,276.12,113.36,1
163,33627,Mix Popcorn,snacks,2024-06-11,1,0,6,10,0,5.31,0.0,5.31,3.13,41,0.41,41,217.71,89.38,1
164,33627,Mix Popcorn,snacks,2024-06-12,2,0,6,19,0,5.31,0.0,5.31,3.13,26,0.26,26,138.06,56.68,1
165,33627,Mix Popcorn,snacks,2024-06-13,3,0,6,17,0,5.31,0.0,5.31,3.13,30,0.3,30,159.3,65.4,1
166,33627,Mix Popcorn,snacks,2024-06-14,4,0,6,9,0,5.31,0.0,5.31,3.13,61,0.61,59,313.29,128.62,1
167,33627,Mix Popcorn,snacks,2024-06-15,5,1,6,17,0,5.31,0.0,5.31,3.13,22,0.22,22,116.82,47.96,1
168,33627,Mix Popcorn,snacks,2024-06-16,6,1,6,9,0,5.31,0.0,5.31,3.13,34,0.34,34,180.54,74.12,1
169,33627,Mix Popcorn,snacks,2024-06-17,0,0,6,19,0,5.31,20.0,4.25,3.13,71,0.71,71,301.75,79.52,1
170,33627,Mix Popcorn,snacks,2024-06-18,1,0,6,9,0,5.31,0.0,5.31,3.13,60,0.6,60,318.6,130.8,1
171,33627,Mix Popcorn,snacks,2024-06-19,2,0,6,8,0,5.31,0.0,5.31,3.13,59,0.59,59,313.29,128.62,1
172,33627,Mix Popcorn,snacks,2024-06-20,3,0,6,10,0,5.31,0.0,5.31,3.13,53,0.53,53,281.43,115.54,1
173,33627,Mix Popcorn,snacks,2024-06-21,4,0,6,17,0,5.31,0.0,5.31,3.13,49,0.49,49,260.19,106.82,1
174,33627,Mix Popcorn,snacks,2024-06-22,5,1,6,19,0,5.31,0.0,5.31,3.13,76,0.76,74,392.94,161.32,1
175,33627,Mix Popcorn,snacks,2024-06-23,6,1,6,8,0,5.31,0.0,5.31,3.13,49,0.49,49,260.19,106.82,1
176,33627,Mix Popcorn,snacks,2024-06-24,0,0,6,9,0,5.31,5.0,5.04,3.13,55,0.55,55,277.2,105.05,1
177,33627,Mix Popcorn,snacks,2024-06-25,1,0,6,20,0,5.31,0.0,5.31,3.13,1,0.01,1,5.31,2.18,1
178,33627,Mix Popcorn,snacks,2024-06-26,2,0,6,19,0,5.31,0.0,5.31,3.13,53,0.53,53,281.43,115.54,1
179,33627,Mix Popcorn,snacks,2024-06-27,3,0,6,8,0,5.31,0.0,5.31,3.13,74,0.74,63,334.53,137.34,1
180,33627,Mix Popcorn,snacks,2024-06-28,4,0,6,18,0,5.31,0.0,5.31,3.13,5,0.05,5,26.55,10.9,1
181,18193,Tangerine Lime Drink Tabs,missing,2024-01-01,0,0,1,18,0,11.51,5.0,10.93,6.41,24,0.24,10,109.3,45.2,1
182,18193,Tangerine Lime Drink Tabs,missing,2024-01-02,1,0,1,18,0,11.51,0.0,11.51,6.41,39,0.39,12,138.12,61.2,1
183,18193,Tangerine Lime Drink Tabs,missing,2024-01-03,2,0,1,19,0,11.51,0.0,11.51,6.41,79,0.79,13,149.63,66.3,1
184,18193,Tangerine Lime Drink Tabs,missing,2024-01-04,3,0,1,17,0,11.51,0.0,11.51,6.41,85,0.85,10,115.1,51.0,1
185,18193,Tangerine Lime Drink Tabs,missing,2024-01-05,4,0,1,17,0,11.51,0.0,11.51,6.41,38,0.38,11,126.61,56.1,1
186,18193,Tangerine Lime Drink Tabs,missing,2024-01-06,5,1,1,9,0,11.51,0.0,11.51,6.41,24,0.24,14,161.14,71.4,1
187,18193,Tangerine Lime Drink Tabs,missing,2024-01-07,6,1,1,19,0,11.51,0.0,11.51,6.41,56,0.56,14,161.14,71.4,1
188,18193,Tangerine Lime Drink Tabs,missing,2024-01-08,0,0,1,10,0,11.51,20.0,9.21,6.41,66,0.66,16,147.36,44.8,1
189,18193,Tangerine Lime Drink Tabs,missing,2024-01-09,1,0,1,19,0,11.51,0.0,11.51,6.41,74,0.74,13,149.63,66.3,1
190,18193,Tangerine Lime Drink Tabs,missing,2024-01-10,2,0,1,18,0,11.51,0.0,11.51,6.41,47,0.47,10,115.1,51.0,1
191,18193,Tangerine Lime Drink Tabs,missing,2024-01-11,3,0,1,19,0,11.51,0.0,11.51,6.41,48,0.48,13,149.63,66.3,1
192,18193,Tangerine Lime Drink Tabs,missing,2024-01-12,4,0,1,19,0,11.51,0.0,11.51,6.41,48,0.48,12,138.12,61.2,1
193,18193,Tangerine Lime Drink Tabs,missing,2024-01-13,5,1,1,18,0,11.51,5.0,10.93,6.41,54,0.54,15,163.95,67.8,1
194,18193,Tangerine Lime Drink Tabs,missing,2024-01-14,6,1,1,18,0,11.51,0.0,11.51,6.41,102,1.0,18,207.18,91.8,1
195,18193,Tangerine Lime Drink Tabs,missing,2024-01-15,0,0,1,19,0,11.51,5.0,10.93,6.41,44,0.44,11,120.23,49.72,1
196,18193,Tangerine Lime Drink Tabs,missing,2024-01-16,1,0,1,17,0,11.51,0.0,11.51,6.41,49,0.49,10,115.1,51.0,1
197,18193,Tangerine Lime Drink Tabs,missing,2024-01-17,2,0,1,18,0,11.51,0.0,11.51,6.41,55,0.55,13,149.63,66.3,1
198,18193,Tangerine Lime Drink Tabs,missing,2024-01-18,3,0,1,19,0,11.51,0.0,11.51,6.41,21,0.21,11,126.61,56.1,1
